Date,Customer,TipoDocumento,Num,Producto,Descripcion,Qty,SalesPrice,Amount,Balance,Class,SalesRep,TipoCliente,ID,Month
2025-08-13,Gala Fresh Farms - Boca Ratón,Invoice,008-06222,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,3.0,355.0,1065.0,4588975,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390182,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,18.0,18.0,4588993,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390183,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Varios:Promotional Allowance,,1.0,-25.0,-25.0,4588991,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390184,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Spanish Style Yellow Rice:AS Spanish Style Yellow Rice,AS Spanish Style Yellow Rice 6 / 3.25 oz,1.0,345.0,345.0,4589025,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390185,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Varios:Promotional Allowance,,1.0,-45.0,-45.0,4589021,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390186,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4589376,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390187,Aug
2025-08-13,Sedanos Supermarkets #27,Invoice,008-06223,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4589344,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390188,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,175.0,175.0,4589361,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390189,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Varios:Promotional Allowance,,1.0,-25.0,-25.0,4589359,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390190,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.,.,1.0,199.0,199.0,4589378,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390191,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Varios:Promotional Allowance,,1.0,-5.0,-5.0,4589373,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390192,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Spanish Style Yellow Rice:AS Spanish Style Yellow Rice,AS Spanish Style Yellow Rice 6 / 3.25 oz,1.0,345.0,345.0,4589408,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390193,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Varios:Promotional Allowance,,1.0,-45.0,-45.0,4589403,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390194,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4589758,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390195,Aug
2025-08-13,Sedanos Supermarkets #24,Invoice,008-06224,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4589726,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390196,Aug
2025-08-13,Key Food / Holywood,Invoice,008-06225,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,5.0,355.0,1775.0,4589904,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390197,Aug
2025-08-13,Key Food / Holywood,Invoice,008-06225,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,1.0,355.0,355.0,4589939,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390198,Aug
